-155.699 355.744 2381.59, -300.526 216.962 2294.08, -380.78 221.392 2391.85, -220.272 212.532 2196.31, -128.329 138.688 2431.48, -176.431 18.4921 2224.57, -137.684 43.8084 2180.38, -163.307 -190.899 2093.48, -210.627 149.526 2370.93, -154.283 83.9421 2488.66, -87.1707 80.2376 2406.9, -235.346 -202.035 2565.35, 42.2375 52.7394 2579.97, -284.743 -581.981 2511.39, -118.87 -396.574 2563.72
-155.992 355.092 2381, -299.345 216.407 2292.98, -380.098 215.41 2387.66, -218.592 217.404 2198.3, -126.686 134.641 2425.09, -174.065 21.1195 2225.69, -118.387 15.1469 2184.68, -140.318 -247.547 2129.76, -208.315 148.286 2369.9, -148.201 79.7823 2483.07, -86.3691 80.546 2410.58, -231.496 -176.13 2529.05, 41.8042 65.1654 2578.71, -201.803 -263.884 2322.56, -122.788 -442.096 2542.94
-157.309 355.096 2381.01, -298.954 215.886 2292.26, -377.759 215.048 2386.84, -220.148 216.725 2197.68, -123.039 137.151 2421.37, -175.298 18.8833 2224.44, -98.6032 -0.148239 2191.81, -193.521 -354.403 2085.66, -208.17 150.101 2367.32, -146.651 84.0055 2477.5, -88.1206 84.6282 2407.25, -200.957 -43.0165 2279.67, -43.776 -143.912 2436.73, -202.965 -336.312 2357.57, -114.146 -418.489 2489.79
-158.052 354.945 2380.02, -298.531 215.433 2291.42, -379.018 153.013 2358.77, -218.044 277.853 2224.07, -122.822 78.5879 2389.86, -159.558 17.9445 2258.27, -85.4236 -76.9523 2174.11, -145.658 -208.873 2115.08, -209.454 153.153 2340.15, -155.851 63.361 2418.57, -84.9022 118.384 2359.21, -306.038 -316.336 2695.21, -37.7532 -100.356 2376.88, -211.322 -408.852 2433.09, -39.1229 -240.994 2108.02
-160.57 354.685 2378.01, -298.806 215.731 2291.48, -315.046 249.761 2407.06, -282.566 181.7 2175.89, -56.6932 180.515 2431.58, -223.528 -78.1681 2209.44, -10.0923 5.83571 2232.95, -209.688 -304.961 2066.2, -221.577 131.303 2327.18, -156.406 72.1404 2448.7, -132.292 21.6108 2277.08, -259.96 -170.294 2609.1, -28.1513 -113.966 2339.68, -205.236 -433.972 2492.26, -37.4917 -245.117 2078.85
-165.12 360.279 2402.66, -185.217 288.172 2345.62, -125.615 329.122 2421.38, -244.819 247.221 2269.85, -165.577 126.726 2488.08, -196.395 48.348 2294.18, -176.058 103.628 2226.88, -184.567 -158.55 2162.51, -158.082 190.119 2377.27, -100.689 112.857 2447.38, -161.206 71.2773 2370.45, -192.412 -122.962 2567.16, -81.379 1.15665 2229.25, -136.436 -389.031 2465.75, -101.888 -278.837 2110.28
-164.617 361.029 2391.92, -193.987 276.357 2355.78, -161.939 319.19 2443.84, -226.034 233.524 2267.72, -172.888 157.09 2435.9, -177.672 39.9886 2294.57, -218.789 145.093 2221.05, -171.704 -160.843 2164.24, -163.649 191.852 2385.85, -122.716 121.509 2445.03, -143.908 93.1838 2386.79, -198.573 -114.831 2523.07, -66.1854 -7.10629 2261.37, -174.045 -431.965 2447.03, -90.4173 -286.626 2136.69
-162.903 359.173 2387.49, -189.663 263.501 2364.24, -199.037 315.072 2452.36, -180.289 211.929 2276.12, -215.149 183.033 2412.86, -131.824 15.0995 2302.76, -283.71 210.015 2202.53, -130.417 -174.92 2174.87, -191.577 170.429 2418.51, -198.975 107.53 2524.33, -188.006 47.1842 2421.22, -165.319 -105.593 2478.26, -86.3636 -29.152 2304.78, -156.894 -384.591 2463.12, -114.972 -310.163 2175.69
-162.875 358.521 2386.67, -195.05 263.935 2357.25, -197.681 313.52 2439.61, -192.418 214.35 2274.89, -197.735 189.682 2383.64, -146.116 16.3823 2302.86, -269.78 237.829 2196.09, -141.861 -181.565 2172.37, -188.204 167.048 2415.8, -183.303 106.806 2535.22, -179.414 33.5136 2413.48, -178.073 -98.7737 2465.49, -68.6226 -26.9832 2305.56, -165.686 -381.742 2474.5, -99.9277 -310.538 2173.94
-338.642 421.449 2218.17, -210.991 329.933 2382.68, -249.296 288.328 2355.89, -172.685 371.538 2409.46, -228.931 190.193 2286.62, -124.684 86.9645 2394, -204.721 164.173 2163.8, -129.07 -137.394 2260.86, -190.289 256.884 2466.54, -233.977 113.9 2505.38, -105.199 253.77 2595.42, -233.698 -101.706 2446.79, -55.0234 61.6615 2391.55, -218.085 -406.458 2464.31, -68.6259 -284.359 2203.15
-261.865 378.828 2290.78, -224.515 326.62 2378.25, -269.511 284.744 2352.62, -179.52 368.495 2403.89, -230.725 207.915 2271.02, -129.901 103.845 2398.4, -192.337 182.282 2158.22, -133.958 -145.786 2254.78, -203.492 253.211 2461.27, -261.001 106.716 2499.56, -103.937 252.89 2589.03, -254.252 -115.713 2446.79, -55.9851 56.9496 2381.83, -244.976 -436.609 2481.16, -67.1051 -273.03 2201.93
