-327.882 371.026 2204.03, -282.331 260.859 2147.45, -314.322 315.342 2205.8, -250.341 206.376 2089.1, -333.709 189.298 2180.24, -306.732 197.736 2194.47, -350.096 20.3727 2176.82, -230.013 144.546 2072.26, -284.981 145.672 2253.55, -309.025 66.9194 2398.66, -266.238 -5.95071 2320.62, -295.198 -196.671 2290.88, -235.504 -55.9839 1903.99, -248.049 -365.949 2402.18, -233.492 -325.115 2074.18
-325.556 370.866 2200.95, -290.759 204.63 2128.96, -334.777 234.53 2152.72, -246.74 174.729 2105.19, -349.077 203.736 2187.1, -344.94 142.334 2237.31, -400.248 81.7147 2172.36, -297.841 7.80515 2148.81, -288.751 117.866 2241.84, -330.06 60.5272 2378.1, -243.426 1.67867 2331.33, -316.778 -203.741 2262.8, -224.215 -74.7808 1939.36, -266.25 -391.624 2404.49, -214.912 -320.95 2102.14
-324.812 370.322 2199.38, -292.551 206.482 2136.83, -347.181 181.902 2118.23, -237.921 231.062 2155.43, -366.337 147.379 2160.15, -364.798 159.776 2239.36, -397.071 1.96512 2155.62, -314.459 67.4868 2108.31, -283.516 113.962 2232.57, -297.668 11.0102 2320.41, -251.295 31.8752 2336.2, -312.282 -283.109 2323.67, -256.913 -74.57 1988.17, -256.581 -436.84 2375.43, -239.406 -309.162 2140.5
-324.328 369.306 2198.26, -294.691 207.613 2148.76, -329.376 166.609 2102.49, -260.005 248.617 2195.04, -351.328 126.534 2152.68, -386.206 138.746 2210.65, -382.412 -9.3093 2133.39, -350.344 100.945 2050.88, -284.416 107.716 2229.58, -284.088 -3.93861 2297.12, -264.195 19.5771 2323.66, -298.837 -287.04 2351.49, -270.976 -89.4532 2010.42, -254.658 -442.127 2360.78, -249.057 -319.26 2158.45
-324.335 368.197 2196.92, -302.425 208.452 2169.32, -355.631 181.243 2138.69, -249.22 235.66 2199.96, -367.734 138.545 2170, -364.107 125.746 2254.38, -417.053 23.4531 2155.98, -298.693 22.8259 2138.75, -284.997 106.041 2230.01, -295.121 -10.4601 2274.83, -240.016 17.7194 2306.56, -307.771 -277.692 2275.59, -269.129 -96.3636 2042.02, -275.751 -301.871 1817.13, -234.755 -324.947 2178.94
-325.789 364.972 2196.17, -297.2 206.935 2261.94, -311.269 205.233 2317.17, -283.131 208.636 2206.71, -329.972 145.084 2177.38, -372.307 72.6741 2250.23, -295.9 -47.7746 2596.24, -341.458 -50.0095 2139.19, -282.081 98.6367 2262.46, -282.251 -11.5097 2323, -251.672 -7.81245 2202.95, -301.678 -281.773 2398.25, -252.921 -279.46 2236.82, -260.853 -200.102 1922.19, -243.621 -325.239 2132.12
-325.508 366.264 2193.9, -298.24 189.212 2193.65, -314.081 212.022 2316.97, -282.399 166.402 2070.34, -331.614 145.066 2202.7, -317.903 130.012 2230.8, -299.146 -36.0172 2599.76, -290.204 8.27936 2117.9, -281.897 86.0044 2214.84, -276.132 -1.97325 2318.37, -254.978 -32.4331 2153.7, -308.617 -269.024 2424.46, -257.072 -289.426 2237.56, -261.607 -212.806 1896.01, -255.238 -305.659 1969.93
-325.738 366.269 2193.95, -297.05 189.044 2196.97, -310.463 208.656 2319.89, -283.638 169.433 2074.04, -334.538 136.439 2214.29, -324.331 122.419 2230.46, -298.833 -22.3278 2605.18, -296.119 -3.59109 2122.49, -281.44 84.083 2215.41, -274.87 -7.66151 2316.71, -256.791 -34.0956 2151.02, -307.532 -269.854 2408.57, -255.66 -286.144 2236.58, -287.732 -402.398 2054.27, -256.772 -307.232 1967.9
-325.548 366.156 2194.41, -298.268 191.568 2198.78, -308.214 208.923 2321.73, -288.322 174.214 2075.82, -349.81 122.742 2254.91, -328.496 112.065 2226.84, -297.977 -7.70296 2601.61, -296.54 -17.4837 2124.48, -283.091 82.9093 2215.34, -274.841 -13.6616 2317.55, -260.985 -37.8378 2146.26, -310.592 -277.813 2395.06, -269.677 -285.71 2263.84, -282.58 -380.457 2032.93, -268.579 -322.922 1860.68
-325.632 365.481 2194.76, -305.944 213.575 2110.14, -297.295 248.751 2181.52, -314.592 178.398 2038.77, -312.832 125.758 2306.52, -264.756 54.369 1942.58, -294.524 -30.9661 2608.04, -303.059 -121.918 1902.58, -298.016 78.9801 2175.52, -279.881 -14.0958 2325.13, -300.296 -97.1331 2156.65, -315.927 -309.142 2410.37, -263.724 -65.2925 2019.28, -273.16 -270.922 1978.3, -254.678 -305.123 1867.28
-325.767 365.055 2194.18, -305.738 214.063 2107.57, -300.629 247.08 2176.28, -310.846 181.046 2038.86, -322.442 123.934 2310.28, -254.824 67.4506 1967.73, -305.915 -18.1053 2567.43, -386.764 198.852 2054.37, -295.972 85.446 2168.65, -279.893 -2.36776 2314.64, -292.52 -83.9742 2144.81, -293.866 -295.031 2393.85, -276.315 -78.104 2009.95, -272.153 -261.53 1953.7, -252.131 -315.384 1874.4
