-1294.7 363.841 3267.54, -1296.86 245.341 3262.55, -1270.26 248.356 3164.03, -1323.46 242.326 3361.07, -1310.48 52.8648 3162.41, -1244.75 91.1181 3285.38, -1253.41 -198.421 3106.34, -1263.12 181.822 3119.06, -1303.24 117.666 3256.92, -1301.37 -9.07501 3220.75, -1317.86 -10.9442 3281.83, -1280.19 -275.638 3214.07, -1297.45 -210.731 3258.69, -1198.12 -395.065 3055.9, -1191.77 -360.39 3024.21
-1296.58 360.382 3276.01, -1299.39 249.679 3265.22, -1272.66 251.65 3169.03, -1326.12 247.708 3361.41, -1310.57 40.1473 3156.76, -1245.42 105.728 3288.4, -1257.72 -192.076 3123.55, -1267.3 198.812 3123.97, -1302.6 122.621 3261.72, -1297.88 -3.85232 3229.68, -1313.75 -5.02244 3286.78, -1280.2 -270.702 3202.5, -1261.46 -204.757 3147.89, -1186.49 -403.092 3022.12, -1187.1 -365.712 3032.28
-1293.02 358.788 3279.23, -1297.97 257.552 3252.37, -1278.87 254.221 3155.37, -1317.08 260.883 3349.36, -1310.52 37.7446 3119.53, -1244.03 132.868 3300.13, -1280.76 -235.111 3139.15, -1267.25 227.641 3136.07, -1301.51 133.327 3255.94, -1298.42 7.9481 3225.91, -1311.66 10.2561 3293.11, -1268.52 -257.91 3151.04, -1245.94 -209.534 3116.97, -1186.95 -396.061 3030.25, -1177.86 -376.006 3041.84
-1290.33 358.109 3280.74, -1299.48 246.974 3283.13, -1279.81 261.124 3165.03, -1319.15 232.825 3401.22, -1310.95 51.8544 3115.1, -1235.58 122.261 3294.38, -1399.28 -279.919 3241.38, -1265.82 214.562 3134.19, -1302.98 128.199 3268.31, -1299.96 14.1191 3214.32, -1313.01 4.72991 3292.68, -1255.8 -254.363 3150.61, -1263.91 -175.783 3119.15, -1166.54 -412.505 3032.61, -1173.25 -390.345 3061.18
-1337.18 366.715 3450.24, -1289.26 248.254 3289.02, -1232.21 262.968 3210.46, -1346.31 233.539 3367.59, -1265.86 -2.32742 3226.5, -1276.1 76.3001 3288.52, -1367.39 -280.611 3242.61, -1313.43 201.51 3132.66, -1269.75 98.6436 3275.17, -1198.9 -37.7232 3190.61, -1301.59 -64.2093 3332.02, -1299.81 -165.482 3103.54, -1288.24 -295.228 3414.28, -1168.14 -335.787 3006.42, -1172.6 -456.379 3113.64
-1329.43 368.285 3408.12, -1287.27 233.755 3277.51, -1268.94 216.599 3192.04, -1305.6 250.91 3362.98, -1309.94 -27.3003 3241.27, -1243.53 84.7559 3306.78, -1393.26 -283.315 3223.44, -1276.25 182.306 3139.54, -1309.57 95.8003 3300.42, -1320.37 -52.9217 3269.68, -1343.38 -31.3863 3376.97, -1246.22 -190.2 3065.38, -1338.91 -271.918 3364.78, -1116.72 -365.53 2963.85, -1196.94 -436.53 3181.73
-1313.84 363.43 3368.66, -1288.42 214.796 3285.82, -1275.44 195.279 3193.24, -1301.4 234.312 3378.4, -1280.71 -23.4125 3182.55, -1245.56 64.3968 3308.16, -1204.93 -272.937 3096.07, -1256.82 153.496 3148.24, -1310.01 84.8348 3310.19, -1321.44 -60.3795 3262.2, -1341.73 -29.8723 3406.92, -1226.1 -25.093 3049.49, -1391.03 -180.661 3189.88, -1155.36 -321.422 3022.22, -1272.87 -354.873 3378.3
-1297.99 366.479 3340.17, -1277.38 204.826 3283.84, -1256.75 183.317 3187.1, -1298.01 226.336 3380.59, -1271.56 -23.3683 3161.84, -1210.28 53.1904 3309.16, -1183.18 -291.532 3087.84, -1261.12 230.29 3168.41, -1302.2 75.4487 3307.32, -1310.17 -71.4993 3251.76, -1343.88 -36.3587 3409.81, -1217.77 -17.328 3060.45, -1287.1 -204.672 3205.64, -1173.51 -305.629 3060.69, -1206.3 -428.092 3239.19
-1274.35 373.491 3355.56, -1278.41 203.82 3278.01, -1256.96 188.731 3184.21, -1299.87 218.909 3371.82, -1268.04 -15.4725 3149.53, -1218.96 52.5621 3309.93, -1287.85 -259.018 3212.12, -1250.4 120.273 3161.57, -1295.1 69.5592 3295.79, -1291.37 -79.0621 3224.3, -1332.2 -50.3413 3402.85, -1235.53 -336.488 3247.52, -1252.96 -228.561 3194.86, -1180.09 -295.538 3078, -1157.14 -481.614 3103.4
-1269.28 334.654 3358.56, -1277.46 202.29 3278.43, -1256.74 190.026 3183.45, -1298.18 214.555 3373.41, -1266.69 -12.334 3141.66, -1218.5 51.9234 3304.97, -1297.29 -256.598 3226.36, -1245.09 108.559 3148.82, -1291.89 65.8709 3292.89, -1286.08 -82.5291 3214.58, -1326.56 -58.5682 3400.14, -1235.86 -338.281 3256.13, -1262.72 -250.537 3218.58, -1178.02 -289.397 3081.63, -1154.51 -483.062 3097.64
-1264.42 324.868 3318.6, -1277.36 192.338 3259.85, -1258 172.724 3152.88, -1296.72 211.951 3366.82, -1262.16 -18.3032 3141.61, -1216.35 56.4457 3292.84, -1306.67 -263.876 3239.41, -1243.2 125.92 3175.51, -1288.42 58.6882 3282.35, -1282.48 -92.1765 3210.97, -1316.47 -57.7458 3398.75, -1244.55 -332.898 3255.81, -1236.32 -265.319 3196.07, -1166.78 -289.993 3068.48, -1145.36 -482.93 3101.85
